src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
192.168.15.1,192.168.15.2,DNS,53,37069,290,2,0.00018095970153808594,0.00018095970153808594,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2804:7f4:6800:cace::e,QUIC,37386,443,268874,1250,87.43164396286011,0.0700013162232667,0.7219041450981766,0
2804:7f4:6800:cace::e,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,37386,11465618,8304,87.42824387550354,0.010529717436529392,0.28111474980190776,0
192.168.15.2,192.168.15.1,DNS,51790,53,160,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.2,192.168.15.1,DNS,53447,53,164,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,51790,260,2,0.00019788742065429688,0.00019788742065429688,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:817::200e,QUIC,55957,443,7762,15,1.2715749740600586,0.09082678386143275,0.21311666806756904,0
192.168.15.1,192.168.15.2,DNS,53,53447,208,2,0.0001690387725830078,0.0001690387725830078,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:836::2006,QUIC,57101,443,2491,5,0.10869312286376953,0.027173280715942383,0.03258034191290915,0
2800:3f0:4001:817::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,55957,13960,22,1.2958989143371582,0.06170947211129325,0.17284720838137257,0
2800:3f0:4001:836::2006,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,57101,4084,7,0.04579782485961914,0.0076329708099365234,0.011704040732267797,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:817::200e,TCP,43752,443,1040,12,154.83129000663757,14.075571818785233,24.705282545395562,0
2800:3f0:4001:817::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,43752,5958,13,154.8063769340515,12.90053141117096,31.115244646234146,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:817::200e,TLS,43752,443,1684,8,154.7419879436493,22.105998277664185,28.452803316188653,0
2800:3f0:4001:817::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,43752,3027,6,117.46118211746216,23.492236423492432,32.15599635634362,0
192.168.15.2,192.168.15.1,DNS,55871,53,150,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,55871,194,2,0.0001900196075439453,0.0001900196075439453,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:808::2003,QUIC,43735,443,2124,7,0.11693596839904785,0.019489328066507976,0.018018071450298837,0
2800:3f0:4001:808::2003,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,43735,7069,9,0.09506392478942871,0.011882990598678589,0.018472091368949853,0
192.168.15.2,192.168.15.1,DNS,34624,53,166,2,4.0531158447265625e-06,4.0531158447265625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,34624,272,2,0.0037889480590820312,0.0037889480590820312,,0
34.36.152.253,192.168.15.2,TCP,443,41184,66,1,0.0,0.0,,0
192.168.15.2,34.36.152.253,TCP,37534,443,536,8,4.078866958618164,0.5826952798025948,1.5103643977740313,0
192.168.15.2,192.168.15.1,DNS,53801,53,166,2,3.0994415283203125e-06,3.0994415283203125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,53801,182,2,0.00024700164794921875,0.00024700164794921875,,0
192.168.15.2,34.36.152.253,TCP,37550,443,8762,133,120.25985622406006,0.9110595168489398,0.27654525821603826,0
34.36.152.253,192.168.15.2,TCP,443,37534,3204,6,4.058741092681885,0.8117482185363769,1.781951918920569,0
192.168.15.2,34.36.152.253,TLS,37534,443,713,2,0.02924799919128418,0.02924799919128418,,0
34.36.152.253,192.168.15.2,TCP,443,37550,3204,6,119.99163007736206,23.99832601547241,53.62473552320622,0
192.168.15.2,34.36.152.253,TLS,37550,443,1295,2,0.03440213203430176,0.03440213203430176,,0
34.36.152.253,192.168.15.2,TLS,443,37534,1854,2,0.00014495849609375,0.00014495849609375,,0
34.36.152.253,192.168.15.2,TLS,443,37550,14740,128,120.21037697792053,0.946538401400949,0.22293176552191002,0
192.168.15.2,192.168.15.1,DNS,58347,53,166,2,3.814697265625e-06,3.814697265625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,58347,182,2,0.0001690387725830078,0.0001690387725830078,,0
192.168.15.2,34.36.152.253,TCP,37564,443,602,9,4.266563177108765,0.5333203971385956,1.3919949434043357,0
34.36.152.253,192.168.15.2,TCP,443,37564,3204,6,4.2450220584869385,0.8490044116973877,1.8666821558904025,0
192.168.15.2,34.36.152.253,TLS,37564,443,1276,2,0.030353069305419922,0.030353069305419922,,0
34.36.152.253,192.168.15.2,TLS,443,37564,2801,3,0.18468093872070312,0.09234046936035156,0.1303956057969444,0
